"region","country","event_title","year_start","year_end","decade","category","description_tr"
"Africa","Algeria","Cezayir Bağımsızlık Savaşı","1954","1962","1950s","Savas/Catisma","FLN öncülüğündeki bağımsızlık savaşı, Cezayir’i Fransa’ya karşı uzun ve yıkıcı bir çatışmaya sürükledi. Şehir gerillası, köy boşaltmaları ve sert karşı operasyonlar, hem Cezayir hem Fransa siyasetinde derin izler bıraktı.

1962’de bağımsızlıkla sonuçlanan savaş, sömürgesizleşme dalgasının en kanlı örneklerinden biri olarak anılır. Cezayir’de ordu ve devrimci meşruiyet, sonraki siyasal düzenin temel dayanağı haline geldi."
"Africa","Algeria","1965 Boumediene Darbesi","1965","1965","1960s","Devrim/Rejim Degisikligi","1965’te Savunma Bakanı Houari Boumediene’nin darbesi, bağımsızlık sonrası Cezayir’de iktidarın ordu-merkezli biçimde konsolide olduğunu gösterdi. Devrimci meşruiyet söylemi korunurken siyasal alan daraltıldı.

Boumediene dönemi, sanayileşme ve devletçilik politikalarıyla anılsa da tek parti düzeni güçlendi. Bu miras, Cezayir’de “ordu ve devlet” ilişkisinin uzun vadeli belirleyicilerinden biri oldu."
"Africa","Algeria","1990'lar İç Savaşı (Kara On Yıl)","1991","2002","1990s","Savas/Catisma","1991 seçimlerinin iptali sonrası İslamcı gruplar ile devlet arasında patlayan çatışma, 1990’larda “Kara On Yıl” diye anılan iç savaşa dönüştü. Katliamlar, köy baskınları ve şehirlerde bombalı saldırılar binlerce can aldı.

Savaş, toplumda büyük bir travma ve siyasal kapanma yarattı. 2000’lerde kısmi normalleşme görülse de güvenlik-devlet refleksleri ve siyasal alanın darlığı bu mirasın uzantısı olarak sürdü."
"Africa","Algeria","2019 Hirak Protestoları","2019","2019","2010s","Devrim/Rejim Degisikligi","2019’da milyonlarca Cezayirli “Hirak” protestolarıyla uzun süreli iktidar yapısına karşı sokağa çıktı. Gösteriler, Abdülaziz Buteflika’nın beşinci dönem adaylığına itirazla başladı ve daha geniş bir sistem eleştirisine dönüştü.

Hareket, rejimin “yumuşak” kadro değişimleriyle krizi yönetmeye çalıştığını gösterdi; ancak demokratikleşme beklentileriyle güvenlik-devlet refleksleri arasındaki gerilim sürdü. Hirak, Cezayir’de toplumsal mobilizasyonun yeni sembolü oldu."
"Africa","Angola","1975 Bağımsızlık ve İç Savaşın Başlangıcı","1975","1975","1970s","Devrim/Rejim Degisikligi","Angola 1975’te Portekiz’den bağımsızlığını ilan etti; ancak iktidar paylaşımı anlaşmazlığı anında iç savaşa dönüştü. Soğuk Savaş koşullarında dış destekler, çatışmayı hızla uluslararasılaştırdı.

Bağımsızlık, Angola’nın “kurucu anı” olsa da devletin daha ilk günden savaş ekonomisine sıkışmasına yol açtı. Sonraki on yıllar, kaynak gelirlerinin güvenlik ve patronaj için kullanılmasının yarattığı kalıcı sorunlarla geçti."
"Africa","Angola","Angola İç Savaşı","1975","2002","1970s","Savas/Catisma","1975’te bağımsızlığın hemen ardından MPLA, UNITA ve FNLA arasında başlayan iç savaş, dış güçlerin de dahil olmasıyla uzun bir vekâlet savaşına dönüştü. Petrol ve elmas gelirleri, savaş ekonomisini besledi.

2002’de Jonas Savimbi’nin ölümüyle savaş sona erdi ve Angola yeniden inşa sürecine girdi. Ancak kaynak bağımlılığı ve yönetim sorunları, barış sonrası kalkınmanın önündeki temel engeller olarak kaldı."
"Africa","Burkina Faso","2014 Halk Ayaklanması ve Sonraki Darbeler","2014","2022","2010s","Devrim/Rejim Degisikligi","2014’te Blaise Compaoré’nin iktidarı uzatma girişimine karşı başlayan protestolar, yönetimin devrilmesiyle sonuçlandı. Bu, “sivil mobilizasyon”un otoriter rejimi gerilettiği güçlü bir örnek oldu.

Ancak 2022’de art arda darbeler, güvenlik krizinin (Sahel cihatçı şiddeti) siyaseti nasıl belirlediğini gösterdi. Burkina Faso, devletin kırsalda otorite kurmakta zorlandığı bir güvenlik sarmalına girdi."
"Africa","Burundi","2015 Krizi ve Siyasal Şiddet","2015","2017","2010s","Savas/Catisma","2015’te üçüncü dönem tartışmaları ve başarısız darbe girişimi, Burundi’de şiddet, baskı ve göç dalgası üretti. Siyasi alan daralırken, güvenlik kurumları üzerindeki kontrol tartışmaları yoğunlaştı.

Kriz, Ruanda ve DRC gibi komşulara mülteci akınını artırdı ve Büyük Göller bölgesinin kırılganlığını yeniden gündeme taşıdı. Burundi, “anayasal sınırlar”ın aşınmasının güvenlik krizine dönüşebileceğinin örneği oldu."
"Africa","Cameroon","Boko Haram’ın Kamerun’a Yayılması","2014","2020","2010s","Teror Saldirisi","Boko Haram’ın Nijerya sınırından Kamerun’un Uzak Kuzey bölgesine taşması, 2010’ların ortasında yeni bir güvenlik cephesi açtı. Köy baskınları, intihar saldırıları ve kaçırmalar sınır bölgesinde hayatı felç etti.

Kamerun, çoklu kriz yönetmek zorunda kaldı: hem Boko Haram tehdidi hem Anglophone krizi aynı dönemde büyüdü. Bu, devlet kaynaklarını bölerek güvenlik ve yönetişim sorunlarını ağırlaştırdı."
"Africa","Cameroon","Anglophone Krizi","2016","2024","2010s","Savas/Catisma","Kamerun’un İngilizce konuşulan bölgelerinde 2016’da başlayan protestolar, kısa sürede ayrılıkçı silahlı hareket ve devletle çatışmaya dönüştü. Eğitim ve hukuk sistemindeki eşitsizlik iddiaları, kimlik siyasetiyle birleşerek şiddeti tırmandırdı.

Kriz, ülkenin federalizm/merkezileşme tartışmalarını canlandırdı ve insani yerinden edilmeyi artırdı. Uzayan çatışma, Kamerun’un istikrarını ve bölgesel güvenlik işbirliğini zorlayan bir başlık haline geldi."
"Africa","Central African Republic","2013 Krizi ve Séléka–Anti-balaka Çatışması","2013","2015","2010s","Savas/Catisma","2013’te Séléka koalisyonunun iktidarı ele geçirmesi, karşılık olarak Anti-balaka milislerinin ortaya çıkmasıyla mezhepsel/kimlik temelli şiddeti tırmandırdı. Devlet otoritesi çökerken kitlesel yerinden edilme yaşandı.

Uluslararası barış gücü ve arabuluculuk girişimleri, şiddeti azaltmaya çalışsa da ülke parçalı kontrol alanlarına bölündü. CAR, zayıf devlet kapasitesinin dış aktör rekabetiyle birleştiğinde nasıl kronik krize dönüştüğünün örneğidir."
"Africa","Chad","1990 Idriss Déby’nin İktidarı Ele Alması","1990","1990","1990s","Devrim/Rejim Degisikligi","1990’da Idriss Déby’nin iktidarı ele geçirmesi, Çad’da uzun süreli bir askerî-siyasi düzenin başlangıcı oldu. Ülke, Libya ile geçmiş çatışmaların ve iç isyanların ardından güvenlik öncelikli bir yönetim modeline yöneldi.

Déby dönemi, Sahel’de terörle mücadelede dış ortaklıklar ve askerî kapasiteyle öne çıktı. Ancak siyasal rekabetin sınırlılığı ve bölgesel isyanlar, rejimin kırılgan yönleri olarak kaldı."
"Africa","Chad","2021 Déby’nin Ölümü ve Geçiş Krizi","2021","2021","2020s","Devrim/Rejim Degisikligi","2021’de Idriss Déby’nin cephede ölümü, Çad’da ani bir güç boşluğu ve geçiş süreci başlattı. Askerî konseyin yönetimi devralması, anayasal düzen ve meşruiyet tartışmalarını büyüttü.

Çad, Sahel güvenliğinde kritik bir askeri aktör olduğundan, geçiş krizi bölgesel güvenliği de etkiledi. İç uzlaşı, isyancı gruplar ve dış ortaklıklar arasındaki denge 2020’lerin temel başlığı haline geldi."
"Africa","Côte d’Ivoire","2002–2007 İç Savaş ve Bölünme","2002","2007","2000s","Savas/Catisma","2002’de başlayan isyan, Fildişi Sahili’ni fiilen kuzey-güney diye bölen bir iç savaşa dönüştürdü. Kimlik siyaseti (“ivoirité”), vatandaşlık tartışmaları ve ekonomik çıkarlar şiddeti besledi.

Ateşkesler ve barış anlaşmaları, ülkeyi kısmen istikrara taşısa da 2010 seçim krizi bu yaraların kapanmadığını gösterdi. Ülke, kimlik ve siyasal aidiyet tartışmalarının güvenlik krizine dönüşebileceğine dair örnek oldu."
"Africa","Côte d’Ivoire","2010–2011 Seçim Krizi ve İç Çatışma","2010","2011","2010s","Savas/Catisma","2010 seçimleri sonrası sonuçların kabul edilmemesi, Laurent Gbagbo ve Alassane Ouattara arasında ikili meşruiyet krizi yarattı. Çatışmalar, ülkeyi yeniden iç savaş eşiğine getirdi ve binlerce insan yerinden edildi.

Kriz, uluslararası tanıma, barış gücü ve bölgesel örgütlerin rolünü öne çıkardı. Sonrasında istikrar arayışı sürse de kimlik siyaseti ve kuzey-güney ayrışması uzun süre etkili oldu."
"Africa","DRC","1960 Kongo Krizi ve Lumumba","1960","1965","1960s","Devrim/Rejim Degisikligi","1960’ta bağımsızlığın hemen ardından Kongo’da ordu isyanı, Katanga ayrılığı ve büyük güç rekabetiyle “Kongo Krizi” patladı. Başbakan Patrice Lumumba’nın öldürülmesi, Soğuk Savaşın Afrika’daki en dramatik müdahale örneklerinden biri olarak anıldı.

Kriz, Joseph-Désiré Mobutu’nun yükselişine ve uzun süreli otoriter yönetime zemin hazırladı. DRC’de devlet kapasitesi sorunu ve kaynak zenginliğinin ‘laneti’ bu kurucu dönemde şekillendi."
"Africa","DRC","1965–1997 Mobutu Dönemi","1965","1997","1960s","Onemli Lider","Mobutu Sese Seko’nun uzun iktidarı, Zaire/DRC’de kişiselleşmiş yönetim, yolsuzluk ve dış destek dengeleriyle sürdü. Soğuk Savaşta anti-komünist duruş, rejime uluslararası koruma sağladı.

Ancak devlet kurumları zayıfladı; altyapı ve kamu hizmetleri çökerken elit patronajı güçlendi. 1990’ların ortasında bölgesel savaş dalgası, bu kırılgan yapıyı hızla dağıttı."
"Africa","Democratic Republic of the Congo","Birinci ve İkinci Kongo Savaşları","1996","2003","1990s","Savas/Catisma","1990’ların sonundaki Kongo savaşları, Ruanda Soykırımı sonrası bölgesel şoklar, kaynak rekabeti ve zayıf devlet kapasitesinin birleşimiyle patladı. Birçok komşu ülke ve sayısız milis grubu sahaya girdi; çatışma “Afrika’nın Dünya Savaşı” olarak anıldı.

2000’ler boyunca barış anlaşmalarına rağmen doğu DRC’de şiddet düşük yoğunluklu biçimde sürdü. Koltan, altın ve diğer madenler etrafındaki savaş ekonomisi, devlet otoritesini sürekli aşındıran bir mekanizma yarattı."
"Africa","Democratic Republic of the Congo","Doğu Kongo’da M23 ve Süregelen İstikrarsızlık","2012","2024","2010s","Savas/Catisma","Doğu Kongo’da M23 gibi silahlı grupların yeniden canlanması, sınır ötesi destek iddiaları ve maden ekonomisi nedeniyle çatışmayı kronikleştirdi. Yerinden edilme ve sivillere yönelik saldırılar, bölgeyi kalıcı bir insani krize itti.

Bu dosya, Büyük Göller bölgesinde güvenlik ile diplomasi arasındaki dengesizliği gösteriyor: barış gücü, bölgesel arabuluculuk ve yerel milis ekonomisi aynı anda var oluyor. DRC’nin egemenlik kapasitesi, bu döngü içinde sürekli test ediliyor."
"Africa","Egypt","1952 Hür Subaylar Darbesi ve Monarşinin Sonu","1952","1952","1950s","Devrim/Rejim Degisikligi","Hür Subaylar Hareketi’nin 1952’deki darbesi, Mısır’da monarşiyi bitirip cumhuriyet dönemini başlattı. Bu, sömürge sonrası Arap dünyasında anti-emperyalist ve modernleşmeci projelerin en etkili örneklerinden biri oldu.

Gamal Abdünnasır’ın yükselişiyle devletçilik, Pan-Arabizm ve bölgesel liderlik iddiası güçlendi. Mısır, Süveyş Krizi ve Arap-İsrail savaşlarında kilit aktöre dönüşerek Afrika-Ortadoğu jeopolitiğinin merkezine oturdu."
"Africa","Egypt","1956 Süveyş Krizi","1956","1956","1950s","Savas/Catisma","Nasır’ın Süveyş Kanalı’nı millîleştirmesi, Birleşik Krallık-Fransa-İsrail’in askerî müdahalesini tetikledi. ABD ve SSCB baskısıyla geri çekilme, sömürge düzeninin çözüldüğünü simgeleyen bir jeopolitik şok yarattı.

Süveyş, Mısır’ın Arap dünyasında prestijini artırırken Batı Avrupa’nın bölgesel rolünü azalttı. Kanal ve deniz ticareti, o günden beri Mısır’ın stratejik “geçit ülkesi” kimliğinin temelidir."
"Africa","Egypt","1967 Altı Gün Savaşı'nın Mısır Etkisi","1967","1967","1960s","Savas/Catisma","1967’deki Altı Gün Savaşı, Mısır’ın Sina’yı kaybetmesiyle büyük bir askerî ve psikolojik yenilgi yarattı. Arap dünyasında liderlik iddiası darbe aldı; ordunun yeniden inşası öncelik haline geldi.

Bu yenilgi, 1973’teki savaş ve ardından Camp David sürecine giden stratejik yön değişimini hazırladı. Mısır’ın güvenlik ve dış politika doktrini, bu şokun gölgesinde yeniden yazıldı."
"Africa","Egypt","1973 Ekim Savaşı ve Camp David'e Giden Yol","1973","1979","1970s","Savas/Catisma","1973 Ekim Savaşı’nda Mısır, Sina’da sürpriz saldırıyla 1967’nin travmasını tersine çevirmeye çalıştı. Savaşın ilk aşamalarındaki başarı, rejim için iç meşruiyeti güçlendirdi.

Sonraki yıllarda Enver Sedat, ABD arabuluculuğuyla Camp David anlaşmalarına yöneldi. Bu adım, İsrail’le barış karşılığında Sina’nın geri alınması ve Mısır’ın bölgesel ittifaklarında belirgin bir yön değişimi anlamına geldi."
"Africa","Egypt","2011 Devrimi ve 2013 Askerî Müdahale","2011","2013","2010s","Devrim/Rejim Degisikligi","2011’de Tahrir Meydanı protestoları, Hüsnü Mübarek’in devrilmesine yol açarak Arap Baharı’nın en sembolik anlarından birini yarattı. Seçimle gelen yönetim kısa sürede derin kutuplaşma ve kurumlar arası krizle karşılaştı.

2013’te ordu müdahalesi ve ardından gelen yeni yönetim, güvenlik-devlet yaklaşımını güçlendirdi. Bu dönem, demokratik geçişin kırılganlığını ve Mısır’ın bölgesel rolünü yeniden tanımlayan bir dönemeç oldu."
"Africa","Eritrea","Eritre Bağımsızlığı ve Sınır Savaşı","1993","2000","1990s","Savas/Catisma","Eritre 1993’te bağımsızlığını kazanarak Afrika Boynuzu’nun siyasi haritasını değiştirdi. Ancak sınırların netleşmemesi ve ekonomik-siyasi rekabet, 1998–2000 Etiyopya-Eritre Savaşı’nı doğurdu.

Savaş, iki ülkenin kalkınma kaynaklarını güvenliğe yönlendirdi ve uzun süreli düşmanlık üretti. 2018’deki yakınlaşma umut yaratsa da bölgesel ittifaklar ve iç dinamikler nedeniyle kalıcı normalleşme kırılgan kaldı."
"Africa","Eritrea","1998–2000 Etiyopya-Eritre Sınır Savaşı","1998","2000","1990s","Savas/Catisma","Sınırın küçük bir kesimi üzerindeki anlaşmazlık, 1998–2000 arasında büyük ölçekli bir devletlerarası savaşa dönüştü. Siper savaşları ve yoğun kayıplar, iki ülkenin kalkınma kaynaklarını tüketti.

Savaş sonrası “ne savaş ne barış” dönemi, Eritre’de sert güvenlik devleti ve zorunlu askerlik sistemini pekiştirdi. 2018’deki yakınlaşma umut yaratsa da bölgesel ittifaklar nedeniyle normalleşme kırılgan kaldı."
"Africa","Ethiopia","1935–1941 İtalya İşgali ve Direniş","1935","1941","1930s","Savas/Catisma","1935’te Mussolini İtalya’sının Etiyopya’yı işgali, Afrika’daki sömürgecilik karşıtı duyarlılığı sert biçimde yükseltti. Kimyasal silah kullanımı iddiaları ve Addis Ababa’nın düşüşü, dönemin en büyük uluslararası krizlerinden biriydi.

1941’de işgalin sona ermesi ve Haile Selassie’nin dönüşü, Etiyopya’nın bağımsızlık sembolünü güçlendirdi. Olay, II. Dünya Savaşı’nın Afrika sahnesiyle sömürgesizleşme fikirlerini birbirine bağladı."
"Africa","Ethiopia","Etiyopya Devrimi ve Derg Rejimi","1974","1991","1970s","Devrim/Rejim Degisikligi","1974’te monarşinin devrilmesiyle Etiyopya’da Derg adlı askerî yönetim kuruldu. Toprak reformu, devletçilik ve sert güvenlik politikalarıyla ülke yeniden yapılandırılmak istendi; “Kızıl Terör” dönemi ağır baskılarla anıldı.

Bu dönem, Eritre ve Tigray gibi bölgelerdeki isyanlarla birlikte uzun süreli savaşları tetikledi. 1991’de Derg’in düşmesiyle federal yapı ve etnik temelli siyaset gündeme gelirken, eski fay hatları yeni biçimlerde varlığını sürdürdü."
"Africa","Ethiopia","1977–1978 Ogaden Savaşı","1977","1978","1970s","Savas/Catisma","Somali’nin Ogaden bölgesini ele geçirme girişimi, 1977–1978’de Etiyopya ile büyük bir savaşa dönüştü. Soğuk Savaş dengeleri içinde dış desteklerin yön değiştirmesi (özellikle SSCB’nin Etiyopya’ya kayması) savaşın seyrini belirledi.

Savaş, Afrika Boynuzu’nda milliyetçilik, sınır ve etnik meselelerin nasıl devletlerarası çatışmaya dönüşebileceğini gösterdi. Ogaden sonrası bölge, uzun süre militarize kaldı ve Somali’nin iç istikrarsızlığı derinleşti."
"Africa","Ethiopia","1984–1985 Kıtlık ve İnsani Kriz","1984","1985","1980s","Savas/Catisma","1984–1985 kıtlığı, kuraklıkla birlikte savaş, zorunlu yer değiştirmeler ve yanlış politikaların birleşimiyle Etiyopya’da büyük bir insani felakete dönüştü. Milyonlarca insanın etkilendiği kriz, küresel yardım seferberliğini de tetikledi.

Kıtlık, Derg rejiminin meşruiyetini zayıflattı ve “insani kriz–siyaset” ilişkisinin nasıl iç içe geçtiğini gösterdi. Etiyopya’da merkezî yönetim ile çevre bölgeler arasındaki gerilimin toplumsal maliyeti bu dönemde çok görünür oldu."
"Africa","Ethiopia","Eritre’nin Bağımsızlığı (Referandum)","1993","1993","1990s","Devrim/Rejim Degisikligi","1993’te yapılan referandumla Eritre’nin bağımsızlığı, Etiyopya’nın denize çıkışını kaybetmesi ve federal kimlik tartışmalarının derinleşmesi anlamına geldi. Bu karar, Afrika Boynuzu’nun jeopolitik dengelerini yeniden kurdu.

Bağımsızlık, kısa vadede iki ülke arasında “kardeş” ilişkisi beklentisi yaratsa da sınır ve ekonomik anlaşmazlıklar hızla büyüdü. 1998 savaşına giden gerilim, bu kurucu dönemde birikmeye başladı."
"Africa","Ethiopia","2018 Abiy Ahmed ve Reform–Çatışma Dönemi","2018","2019","2010s","Onemli Lider","2018’de Abiy Ahmed’in iktidara gelişi, siyasi tutukluların serbest bırakılması ve Eritre ile barış gibi adımlarla büyük bir reform umudu yarattı. Nobel Barış Ödülü, bu dönüşümün sembolü haline geldi.

Ancak reform süreci, etnik rekabetin ve federal gerilimlerin şiddetlenmesiyle aynı döneme denk geldi. Bu ikilik, Etiyopya’da “liberalizasyon mu, parçalanma riski mi?” sorusunu 2020’lere taşıdı."
"Africa","Ethiopia","2020–2022 Tigray Savaşı","2020","2022","2020s","Savas/Catisma","2020’de Tigray bölgesinde patlayan çatışma, Etiyopya’nın modern tarihindeki en yıkıcı iç savaşlardan birine dönüştü. Federal güçler, bölgesel unsurlar ve komşu aktörlerin etkisiyle savaş hızla tırmandı; insani kriz ve yerinden edilme büyük boyutlara ulaştı.

2022’de ateşkes anlaşması çatışmayı azaltırken, ülkenin federal düzeni, kimlik siyaseti ve güvenlik mimarisi tartışmaları sürüyor. Savaş, Afrika Boynuzu’ndaki kırılganlığı ve bölgesel güvenlik zincirini yeniden görünür kıldı."
"Africa","Gabon","1967–2009 Omar Bongo Dönemi","1967","2009","1960s","Onemli Lider","Omar Bongo’nun uzun iktidarı, Gabon’da istikrar ile otoriter yönetim arasındaki çizgiyi temsil eder. Petrol gelirleri sayesinde devlet ayakta kaldı; ancak siyasal rekabetin sınırlı olması ve patronaj düzeni eleştirileri büyüdü.

Bongo dönemi, Fransa ile ilişkiler ve “Françafrique” tartışmaları açısından da simgeseldir. Liderliğin kişiselleşmesi, 2000’lerde kurumsal dönüşümü zorlaştıran kalıcı bir miras bıraktı."
"Africa","Ghana","1957 Bağımsızlık ve Nkrumah","1957","1966","1950s","Onemli Lider","Gana 1957’de bağımsızlığını kazanarak Sahra-altı Afrika’da sömürgesizleşmenin öncülerinden biri oldu. Kwame Nkrumah, Pan-Afrika vizyonu ve hızlı modernleşme programlarıyla dönemin en etkili liderlerinden biri haline geldi.

Nkrumah’ın otoriterleşme suçlamaları ve ekonomik baskılar 1966’da darbeye giden yolu açtı. Buna rağmen Gana’nın bağımsızlığı, Afrika’da “bağımsızlık dalgası”nın sembolik başlangıç noktalarından biri olarak kabul edilir."
"Africa","Ghana","1981 Jerry Rawlings Darbesi ve Dönüşüm","1981","1992","1980s","Devrim/Rejim Degisikligi","1981’de Jerry Rawlings’in darbesi, Gana’da askeri yönetim ve ekonomik yeniden yapılanma dönemini başlattı. Sert tedbirler ve devlet reformları, 1980’lerin ekonomik krizini yönetme arayışının parçasıydı.

1992’de anayasa ve seçimlerle sivil yönetime dönüş, Gana’yı bölgedeki daha istikrarlı demokrasilerden biri haline getirdi. Bu deneyim, kurumsal geçişin “kademeli” biçimde de mümkün olabileceğini gösterdi."
"Africa","Kenya","Mau Mau Ayaklanması","1952","1960","1950s","Savas/Catisma","1950’lerde Mau Mau isyanı, İngiliz sömürge yönetimine karşı özellikle Kikuyu toplulukları içinde gelişen silahlı direnişti. Sert karşı önlemler, toplama kampları ve ağır hak ihlalleri iddialarıyla anıldı.

İsyan, Kenya’nın bağımsızlığa giden yolunu hızlandırdı ve sömürge sonrası toprak, kimlik ve eşitlik tartışmalarının temel referansına dönüştü. Bağımsız Kenya’nın siyasal hafızasında “kurucu mücadele” olarak yer aldı."
"Africa","Kenya","1998 Nairobi ABD Büyükelçiliği Bombalaması","1998","1998","1990s","Teror Saldirisi","1998’de Nairobi’deki ABD Büyükelçiliği’ne yapılan bombalı saldırı, El-Kaide bağlantılı küresel terör ağlarının Doğu Afrika’da ne kadar yıkıcı olabileceğini gösterdi. Yüzlerce sivil hayatını kaybetti ve şehir merkezinde ağır hasar oluştu.

Saldırı, Kenya’nın güvenlik gündemini uluslararası terörle mücadele eksenine taşıdı. İstihbarat, sınır kontrolü ve radikalleşme tartışmaları, sonraki yıllarda politikaların ana başlığı haline geldi."
"Africa","Kenya","2007–2008 Seçim Sonrası Şiddet","2007","2008","2000s","Savas/Catisma","2007 seçimleri sonrası hile iddiaları, Kenya’da etnik çizgilerde şiddet patlamasına yol açtı. Sokak çatışmaları ve misillemeler yüzbinlerce insanı yerinden etti; devletin tarafsızlığı tartışıldı.

Kriz, anayasa reformu ve uzlaşı hükümetiyle kısmen yönetildi. Kenya, seçimlerin “güvenlik olayı”na dönüşme riskini ve kurumsal reform ihtiyacını bu deneyimle sert biçimde öğrendi."
"Africa","Kenya","2013 Westgate Alışveriş Merkezi Saldırısı","2013","2013","2010s","Teror Saldirisi","2013’te Nairobi’deki Westgate alışveriş merkezine yapılan saldırı, El-Şebab’ın Kenya’yı hedef alan en ses getiren eylemlerinden biri oldu. Günler süren kuşatma, çok sayıda sivilin ölümüyle sonuçlandı.

Saldırı, Kenya’nın Somali’deki askerî varlığı ve sınır güvenliği tartışmalarını sertleştirdi. Turizm ve iç siyaset üzerindeki etkileri, terörün ekonomik ve toplumsal maliyetini görünür kıldı."
"Africa","Kenya","2015 Garissa Üniversite Saldırısı","2015","2015","2010s","Teror Saldirisi","2015’te Garissa Üniversitesi’ne yapılan saldırı, El-Şebab’ın Kenya içinde kitlesel can kaybı hedefleyen en kanlı eylemlerinden biri oldu. Öğrenciler hedef alındı ve ülke genelinde büyük bir şok yaşandı.

Saldırı, sınır güvenliği ve radikalleşme politikalarını sertleştirirken Müslüman topluluklarla ilişkilerde de gerilim yarattı. Kenya, terörle mücadelede güvenlik ve haklar dengesini yeniden tartışmak zorunda kaldı."
"Africa","Liberia","1989–2003 İç Savaşlar","1989","2003","1980s","Savas/Catisma","Charles Taylor’ın yükselişiyle başlayan çatışmalar, Liberia’yı iki iç savaş dalgasıyla yıktı. Etnik ve siyasi rekabet, bölgesel müdahaleler ve savaş ekonomisi şiddeti besledi.

2003 sonrası barış süreci ve seçimler ülkeyi toparlamaya çalıştı. Liberia deneyimi, Batı Afrika’da sınır ötesi silahlı ağların ve liderlik krizlerinin domino etkisini göstermesi açısından önemli oldu."
"Africa","Libya","1969 Kaddafi Darbesi","1969","1969","1960s","Devrim/Rejim Degisikligi","1969’da Muammer Kaddafi’nin darbesi, Libya’da monarşiyi devirdi ve radikal bir cumhuriyet projesini başlattı. Petrol gelirleriyle sosyal programlar yürütülürken, dış politikada devrim ihracı ve sert anti-Batı çizgisi öne çıktı.

Kaddafi dönemi, Afrika ve Ortadoğu’da vekâlet ağları, müdahaleler ve yaptırımlarla şekillendi. 2011’de rejimin çöküşü, kurumsal boşluk ve parçalanmanın ne kadar derin olduğunu da ortaya koydu."
